ts,open,high,low,close,volume,oi
2026-07-15 12:47:00+05:30,83.25,83.5,81.45,82.4,162305,6178705
2026-07-15 12:48:00+05:30,82.6,82.6,80.25,81.65,127920,6171685
2026-07-15 12:49:00+05:30,81.6,81.9,79.75,79.95,114985,6166745
2026-07-15 12:50:00+05:30,79.75,81.45,79.0,80.6,234455,6166745
2026-07-15 12:51:00+05:30,80.8,82.15,80.15,80.45,155155,6199310
2026-07-15 12:52:00+05:30,80.2,80.85,78.6,79.05,138125,6199570
2026-07-15 12:53:00+05:30,78.8,79.45,76.25,76.5,318240,6210620
2026-07-15 12:54:00+05:30,76.35,76.45,72.0,73.5,652860,6145685
2026-07-15 12:55:00+05:30,73.3,73.9,65.5,65.7,749385,6145685
2026-07-15 12:56:00+05:30,65.8,66.75,56.2,56.4,1415700,6204900
2026-07-15 12:57:00+05:30,56.3,62.85,56.1,59.1,1646385,6141330
2026-07-15 12:58:00+05:30,59.1,63.6,58.2,63.6,1154075,6097000
2026-07-15 12:59:00+05:30,63.5,65.25,60.7,61.5,921115,6097000
2026-07-15 13:00:00+05:30,61.35,64.65,59.3,64.2,722735,6274840
2026-07-15 13:01:00+05:30,64.35,65.85,61.8,63.65,564070,6291350
2026-07-15 13:02:00+05:30,63.75,65.7,63.7,64.5,625625,6320600
2026-07-15 13:03:00+05:30,64.7,65.85,63.6,64.8,327730,6331455
2026-07-15 13:04:00+05:30,64.8,65.45,64.1,64.5,340795,6316570
2026-07-15 13:05:00+05:30,64.65,64.95,63.45,63.7,517400,6380140
2026-07-15 13:06:00+05:30,63.75,64.0,61.9,62.15,382915,6533085
2026-07-15 13:07:00+05:30,62.15,63.0,60.35,60.7,365950,6557915
2026-07-15 13:08:00+05:30,60.9,61.4,60.0,60.7,416585,6604585
2026-07-15 13:09:00+05:30,60.7,61.55,59.4,59.55,411775,6708065
2026-07-15 13:10:00+05:30,59.6,60.7,59.4,60.3,306605,6777095
2026-07-15 13:11:00+05:30,60.25,60.8,59.1,60.05,202540,6842680
2026-07-15 13:12:00+05:30,60.25,61.3,59.25,59.75,198640,6845605
2026-07-15 13:13:00+05:30,59.8,60.2,58.7,58.9,213785,6892340
2026-07-15 13:14:00+05:30,59.0,60.65,58.6,60.6,236860,6933680
2026-07-15 13:15:00+05:30,60.5,62.35,59.3,61.5,235495,6971640
2026-07-15 13:16:00+05:30,61.5,63.2,60.2,61.85,696540,7470060
2026-07-15 13:17:00+05:30,61.85,62.85,60.9,61.6,661765,7470060
2026-07-15 13:18:00+05:30,61.6,64.0,61.35,63.9,284245,7729475
2026-07-15 13:19:00+05:30,63.9,67.0,63.55,65.35,540410,7766265
2026-07-15 13:20:00+05:30,65.4,65.85,64.5,65.55,267410,7797530
2026-07-15 13:21:00+05:30,65.55,66.5,63.3,64.3,404820,7773870
2026-07-15 13:22:00+05:30,64.65,65.0,63.5,63.7,278070,7740265
2026-07-15 13:23:00+05:30,63.7,65.0,62.4,63.6,611910,7749300
2026-07-15 13:24:00+05:30,63.5,64.0,62.6,63.7,207025,7469735
2026-07-15 13:25:00+05:30,63.55,64.5,62.65,63.75,156130,7440095
2026-07-15 13:26:00+05:30,63.65,64.3,62.6,62.9,131430,7447635
2026-07-15 13:27:00+05:30,62.8,63.35,62.1,62.35,186615,7477210
2026-07-15 13:28:00+05:30,62.1,64.0,61.95,63.25,178945,7488130
2026-07-15 13:29:00+05:30,63.3,64.8,63.0,63.85,182130,7488000
2026-07-15 13:30:00+05:30,63.8,64.2,62.15,62.8,219375,7501650
2026-07-15 13:31:00+05:30,62.9,63.95,62.65,63.85,96525,7505290
2026-07-15 13:32:00+05:30,63.8,64.15,62.1,62.65,145925,7509905
2026-07-15 13:33:00+05:30,62.6,63.3,62.3,63.05,107250,7512895
2026-07-15 13:34:00+05:30,63.0,63.0,60.75,61.95,242840,7489625
2026-07-15 13:35:00+05:30,61.95,63.25,61.95,63.25,127920,7440550
2026-07-15 13:36:00+05:30,63.25,63.55,62.1,62.7,99515,7460830
2026-07-15 13:37:00+05:30,62.8,62.9,61.3,62.15,107510,7457060
2026-07-15 13:38:00+05:30,62.25,62.4,60.6,61.4,169455,7476430
2026-07-15 13:39:00+05:30,61.5,62.3,61.25,62.0,72215,7464600
2026-07-15 13:40:00+05:30,62.0,62.0,60.75,61.15,135135,7468890
2026-07-15 13:41:00+05:30,61.35,62.0,60.05,60.35,94705,7468825
